"ENT","CON","N_REN","PAREN","SEXO","EDAD","NIV","GRA","P3_5","P3_6","P3_7","P3_8","P3_9_1","P3_9_2","P3_9_3","P3_9_4","P3_9_5","P3_9_6","P3_9_7","P3_9_8","P3_9_9","P3_10","P3_11","P3_12_1","P3_12_2","P3_12_3","P3_12_4","P3_12_5","P3_12_6","P3_12_7","P3_12_8","P3_12A","P3_13","P3_14","P3_15","P3_16","P3_17_1","P3_17_2","P3_17_3","P3_17_4","P3_17_5","P3_17_6","P3_17_7","P3_17_8","P3_18","P3_19_1","P3_19_2","P3_19_3","P3_19_4","P3_19_5","P3_19_6","P3_19_7","P3_19_8","P3_20","P3_21_1","P3_21_2","P3_21_3","P3_21_4","P3_21_5","P3_21_6","P3_21_7","P3_21A","P3_21B","P3_22","P3_23","P3_24","P3_25_1","P3_25_2","P3_25_3","P3_25_4","P3_25_5","P3_26","FACTOR"
"18","18E17810","01","1","2","16","5","01","1","1","1","","","","","","","","","","","","1","0","1","0","0","1","0","0","0","2","1","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","2","1","06","2","","0","1","1","0","0","1",1674
"18","18E17840","01","1","1","16","5","01","1","1","1","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","2","2","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","0","2","2","04","2","","0","1","0","0","0","2",1674
"18","18E17860","01","1","1","08","2","02","1","1","1","","","","","","","","","","","","1","0","0","1","1","0","0","0","0","3","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","3","1","05","1","1","0","1","1","0","0","3",1475
"18","18E17860","02","1","2","12","2","06","1","1","1","","","","","","","","","","","","1","0","0","1","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","4","2","07","1","1","0","1","0","0","0","3",1475
"18","18E17860","03","1","2","15","3","03","1","1","1","","","","","","","","","","","","1","0","0","1","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","4","2","08","1","1","0","1","0","0","0","3",1475
"18","18E17934","02","1","1","11","2","05","1","1","1","","","","","","","","","","","","2","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","02","1","3","0","1","0","0","0","4",1169
"18","18E17934","03","1","2","18","5","03","1","1","1","","","","","","","","","","","","2","0","0","0","1","0","0","0","0","4","2","1","2","","","","","","","","","","","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","4","2","12","2","","0","1","0","0","0","4",1169
"18","18E17954","01","8","2","26","6","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","3",2103
"18","18E18011","01","1","2","17","5","02","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","04","1","1","0","1","0","0","0","1",1126
"18","18E18011","02","1","1","22","7","01","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","1",1126
